"word1","word2","freq"
"right","now",36
"new","york",24
"last","year",23
"dont","know",20
"years","ago",20
"make","sure",17
"mothers","day",16
"every","time",15
"im","going",15
"los","angeles",15
"st","louis",15
"looking","forward",14
"cant","wait",13
"high","school",13
"happy","birthday",12
"last","night",12
"can","make",11
"feel","like",11
"first","time",11
"just","got",10
"let","know",10
"one","day",10
"san","francisco",10
"thanks","follow",10
"two","weeks",10
"dont","think",9
"san","diego",9
"two","years",9
"united","states",9
"can","say",8
"dont","get",8
"dont","like",8
"even","though",8
"every","day",8
"go","back",8
"happy","mothers",8
"much","better",8
"one","favorite",8
"one","thing",8
"sounds","like",8
"take","care",8
"year","old",8
"best","friend",7
"can","get",7
"can","see",7
"dont","even",7
"dont","want",7
"even","know",7
"im","sure",7
"ive","got",7
"last","week",7
"super","bowl",7
"thats","awesome",7
"wait","see",7
"10","minutes",6
"can","go",6
"didnt","know",6
"finally","got",6
"five","years",6
"just","say",6
"love","love",6
"many","people",6
"many","times",6
"new","jersey",6
"officials","said",6
"robert","half",6
"said","“i",6
"thank","much",6
"thanks","following",6
"thought","id",6
"three","years",6
"wall","street",6
"already","know",5
"anyone","else",5
"background","vocals",5
"blood","pressure",5
"cents","per",5
"dont","forget",5
"follow","back",5
"four","years",5
"good","luck",5
"health","care",5
"im","gonna",5
"just","like",5
"last","day",5
"last","time",5
"last","years",5
"late","night",5
"lead","background",5
"looks","like",5
"new","orleans",5
"next","week",5
"one","point",5
"one","will",5
"per","share",5
"pretty","good",5
"pretty","much",5
"said","statement",5
"seems","like",5
"social","media",5
"take","look",5
"thank","u",5
"think","can",5
"want","see",5
"will","get",5
"will","never",5
"year","ago",5
"youre","going",5
"10","years",4
"2","percent",4
"around","world",4
"can","help",4
"can","imagine",4
"can","tell",4
"cant","believe",4
"cant","find",4
"cave","creek",4
"come","back",4
"dark","haired",4
"didnt","get",4
"didnt","really",4
"dont","need",4
"every","single",4
"feels","like",4
"first","half",4
"follow","us",4
"forward","tomorrow",4
"get","back",4
"getting","ready",4
"good","job",4
"good","one",4
"good","thing",4
"good","time",4
"great","day",4
"great","job",4
"ice","cream",4
"ill","let",4
"im","getting",4
"im","just",4
"im","really",4
"im","still",4
"it’s","time",4
"jersey","city",4
"just","finished",4
"know","can",4
"know","im",4
"know","just",4
"last","month",4
"like","one",4
"like","people",4
"like","really",4
"little","bit",4
"long","term",4
"look","like",4
"lot","people",4
"love","much",4
"makes","sense",4
"mitt","romney",4
"natural","gas",4
"need","help",4
"next","time",4
"north","carolina",4
"now","just",4
"now","thats",4
"oh","yeah",4
"one","another",4
"one","best",4
"one","bottle",4
"one","can",4
"part","time",4
"people","want",4
"said","can",4
"second","round",4
"spread","word",4
"sunday","night",4
"thanks","much",4
"think","will",4
"three","months",4
"time","get",4
"two","hours",4
"vice","president",4
"want","know",4
"will","also",4
"will","help",4
"will","make",4
"will","receive",4
"will","see",4
"1","cup",3
"15","rebounds",3
"15","years",3
"18","years",3
"2","weeks",3
"20","years",3
"4","years",3
"40","percent",3
"6","pm",3
"add","much",3
"armed","robbery",3
"ashley","ashley",3
"back","soon",3
"bay","area",3
"became","known",3
"best","friends",3
"best","player",3
"bring","us",3
"can","find",3
"can","give",3
"can","set",3
"can","start",3
"can","still",3
"can","try",3
"can","watch",3
"card","made",3
"chris","martin",3
"class","average",3
"cleveland","ohio",3
"coaching","staff",3
"columbus","ohio",3
"come","visit",3
"coming","soon",3
"common","sense",3
"council","will",3
"county","executive",3
"day","just",3
"declined","comment",3
"doesnt","get",3
"doesnt","mean",3
"doesnt","want",3
"don’t","want",3
"dont","care",3
"dont","judge",3
"dont","take",3
"dry","creek",3
"earlier","year",3
"east","st",3
"elementary","school",3
"emergency","department",3
"even","begin",3
"ever","since",3
"every","one",3
"everyone","else",3
"far","west",3
"favorite","beer",3
"federal","government",3
"first","day",3
"first","friday",3
"first","round",3
"first","six",3
"first","year",3
"forgive","others",3
"get","better",3
"get","job",3
"get","work",3
"give","us",3
"giving","away",3
"global","economy",3
