"word","freq"
"one",299
"will",283
"just",282
"said",274
"like",244
"can",243
"time",216
"get",207
"now",194
"new",185
"good",179
"people",173
"know",167
"dont",163
"day",151
"love",151
"back",136
"make",133
"first",132
"year",130
"going",129
"think",128
"last",126
"two",126
"much",122
"really",122
"also",121
"right",119
"see",118
"even",117
"want",117
"got",114
"years",111
"way",110
"work",110
"great",106
"still",105
"say",104
"today",98
"well",98
"never",94
"need",91
"thanks",91
"best",90
"made",85
"take",85
"every",84
"come",81
"something",81
"life",80
"school",80
"many",79
"thats",79
"another",77
"may",77
"little",76
"home",75
"happy",72
"lol",71
"night",70
"around",69
"game",69
"keep",69
"always",66
"state",66
"used",65
"things",64
"three",64
"better",63
"look",63
"lot",63
"since",63
"cant",62
"getting",61
"looking",61
"part",61
"sure",61
"team",60
"week",60
"world",60
"use",59
"house",58
"show",58
"man",57
"book",56
"big",54
"follow",54
"hope",54
"city",53
"didnt",52
"give",52
"next",52
"tonight",52
"youre",52
"it’s",51
"place",51
"help",50
"name",50
"ever",49
"long",49
"find",48
"ive",48
"without",48
"bad",47
"feel",47
"fun",47
"says",47
"family",46
"hard",46
"thing",46
"end",45
"free",45
"left",45
"million",45
"thought",45
"food",44
"ill",44
"put",44
"told",44
"try",44
"let",43
"makes",43
"old",43
"person",43
"play",43
"someone",43
"though",43
"went",43
"high",42
"job",42
"making",42
"percent",42
"real",42
"thank",42
"tomorrow",42
"yes",42
"least",41
"second",41
"yet",41
"days",40
"far",40
"friends",40
"guys",40
"kids",40
"months",40
"read",40
"top",40
"working",40
"anything",39
"came",39
"children",39
"enough",39
"everyone",39
"number",39
"point",39
"season",39
"set",39
"start",39
"wait",39
"–",38
"away",38
"believe",38
"found",38
"hes",38
"might",38
"party",38
"started",38
"tell",38
"win",38
"—",37
"coming",37
"haha",37
"change",36
"favorite",36
"half",36
"less",36
"live",36
"money",36
"room",36
"soon",36
"almost",35
"already",35
"beautiful",35
"call",35
"check",35
"done",35
"group",35
"including",35
"maybe",35
"men",35
"morning",35
"music",35
"nice",35
"open",35
"pay",35
"company",34
"ohio",34
"past",34
"pretty",34
"taking",34
"ago",33
"called",33
"doesnt",33
"hear",33
"nothing",33
"office",33
"street",33
"watching",33
"cool",32
"don’t",32
"early",32
"head",32
"hit",32
"i’m",32
"law",32
"news",32
"run",32
"times",32
"took",32
"weeks",32
"asked",31
"care",31
"county",31
"different",31
"enjoy",31
"finally",31
"later",31
"often",31
"small",31
"stop",31
"wanted",31
"watch",31
"weekend",31
"friend",30
"girl",30
"month",30
"public",30
"anyone",29
"center",29
"class",29
"face",29
"four",29
"hey",29
"late",29
"local",29
"mind",29
"move",29
"together",29
"true",29
"white",29
"business",28
"fact",28
"forward",28
"full",28
"games",28
"god",28
"lets",28
"must",28
"others",28
"please",28
"power",28
"rest",28
"san",28
"several",28
"stay",28
"theres",28
"thinking",28
"water",28
"whats",28
"actually",27
"amazing",27
"ask",27
"awesome",27
"bar",27
"birthday",27
"everything",27
"friday",27
"guy",27
"hate",27
"however",27
"police",27
"ready",27
"series",27
"twitter",27
"women",27
"along",26
"beer",26
"following",26
"girls",26
"government",26
"minutes",26
"miss",26
"movie",26
"park",26
"phone",26
"probably",26
"services",26
"students",26
"town",26
"wine",26
"won",26
"able",25
"buy",25
"chance",25
"either",25
"excited",25
"idea",25
"issue",25
"means",25
"national",25
"plan",25
"president",25
"question",25
"remember",25
"saw",25
"trying",25
"whether",25
"add",24
"baby",24
"black",24
"case",24
"five",24
"health",24
"heart",24
"hours",24
"inside",24
"kind",24
"matter",24
"moment",24
"played",24
"player",24
"playing",24
"problem",24
"project",24
"reading",24
"seems",24
"seen",24
"service",24
"sounds",24
"special",24
"talk",24
"that’s",24
"woman",24
"york",24
"“i",23
"across",23
"area",23
"behind",23
"course",23
"huge",23
"lost",23
"loved",23
"members",23
"page",23
"per",23
"shit",23
"social",23
"story",23
"support",23
"sweet",23
"third",23
"tuesday",23
"university",23
"west",23
"yesterday",23
"young",23
"become",22
"billion",22
"bit",22
"bring",22
"country",22
"film",22
"former",22
"guess",22
"heard",22
"important",22
"mean",22
"meet",22
"mom",22
"needs",22
"obama",22
"officials",22
"perfect",22
"players",22
"post",22
"reason",22
"sense",22
"site",22
"statement",22
"states",22
"summer",22
"super",22
"theyre",22
"whole",22
"american",21
"body",21
"building",21
"child",21
"community",21
"easy",21
"else",21
"experience",21
"gave",21
"goes",21
"key",21
"lead",21
"loss",21
"mothers",21
"needed",21
"north",21
"parents",21
"possible",21
"short",21
"sorry",21
"sunday",21
"thursday",21
"using",21
"wish",21
"wont",21
"words",21
"writing",21
"100",20
"art",20
"blog",20
"board",20
"brown",20
"career",20
"christmas",20
"event",20
"fans",20
"field",20
"finished",20
"given",20
"giving",20
"glad",20
"gotta",20
"level",20
"list",20
"program",20
"quite",20
"share",20
"six",20
"turn",20
"understand",20
