"word1","word2","word3","word4","freq"
"3133552","bottles","that’s","assuming",2
"500","mgm2","max","1000",2
"63","cents","per","share",2
"9400655","bottles","chemical","laden",2
"alternative","that’s","still","3133552",2
"armed","robbery","five","counts",2
"assume","two","thirds","sun",2
"assuming","person","usespurchases","one",2
"bottle","sunscreen","year","that’s",2
"bottles","chemical","laden","resource",2
"bottles","that’s","assuming","person",2
"bought","environmentally","healthy","alternative",2
"can","believe","little","boy",2
"cents","per","kilowatt","hour",2
"chemical","laden","resource","depleting",2
"chosen","live","community","others",2
"depleting","potentially","hazardous","product",2
"environmentally","healthy","alternative","that’s",2
"even","assume","two","thirds",2
"floridians","use","one","bottle",2
"forgive","others","forgive","others",2
"forward","tomorrow","free","chobani",2
"free","chobani","samples","yum",2
"glad","minibrief","hit","smms",2
"great","meeting","thanks","hope",2
"guitar","lead","background","vocals",2
"half","floridians","use","one",2
"half","time","want","knock",2
"hard","niggas","kno","got",2
"hazardous","product","stinkin","landfills",2
"healthy","alternative","that’s","still",2
"hit","smms","great","meeting",2
"just","say","half","floridians",2
"knit","2","stitches","together",2
"laden","resource","depleting","potentially",2
"landfills","even","assume","two",2
"let’s","just","say","half",2
"letter","sounds","per","child",2
"live","community","others","chosen",2
"looking","forward","tomorrow","free",2
"love","love","love","love",2
"mgm2","max","1000","mg",2
"michigan","high","school","athletic",2
"minibrief","hit","smms","great",2
"one","bottle","sunscreen","year",2
"patrons","bought","environmentally","healthy",2
"person","usespurchases","one","bottle",2
"potentially","hazardous","product","stinkin",2
"product","stinkin","landfills","even",2
"resource","depleting","potentially","hazardous",2
"rob","parissi","lead","vocals",2
"say","half","floridians","use",2
"smms","great","meeting","thanks",2
"still","3133552","bottles","that’s",2
"stinkin","landfills","even","assume",2
"stitch","knit","2","stitches",2
"sun","patrons","bought","environmentally",2
"sunscreen","year","that’s","9400655",2
"thank","much","kind","words",2
"that’s","9400655","bottles","chemical",2
"that’s","assuming","person","usespurchases",2
"that’s","still","3133552","bottles",2
"thirds","sun","patrons","bought",2
"time","want","knock","shit",2
"tomorrow","free","chobani","samples",2
"two","thirds","sun","patrons",2
"use","one","bottle","sunscreen",2
"year","that’s","9400655","bottles",2
